,Car Name,Kilometers Driven (in Km),Fuel Type,Transmission Type,Price (in Lakh),City,Year,Brand
666,Hyundai i20,75457,Petrol,Manual,5.15,Thane,2015,Hyundai
667,Honda City,71826,Diesel,Manual,5.35,Thane,2014,Honda
668,Ford EcoSport,50232,Petrol,Automatic,5.65,Thane,2016,Ford
669,Maruti Suzuki Baleno,66033,Petrol,Automatic,6.25,Thane,2017,Maruti
670,Volkswagen Vento,28278,Petrol,Automatic,6.35,Thane,2016,Volkswagen
671,Renault Duster,68167,Diesel,Manual,6.85,Thane,2016,Renault
672,Honda City,52699,Petrol,Automatic,6.95,Thane,2016,Honda
673,Maruti Suzuki Celerio,5128,Petrol,AMT,7.0,Thane,2023,Maruti
674,Renault Duster,61753,Diesel,Manual,7.45,Thane,2016,Renault
675,Honda City ZX,53740,Petrol,Automatic,8.25,Thane,2017,Honda
676,Hyundai Creta,64829,Petrol,Automatic,8.95,Thane,2017,Hyundai
677,Toyota Corolla Altis,76225,Diesel,Manual,9.25,Thane,2016,Toyota
678,Hyundai Creta,51651,Petrol,Manual,9.65,Thane,2018,Hyundai
679,Skoda Octavia,62486,Petrol,Automatic,9.65,Thane,2016,Skoda
680,Mahindra XUV300,11801,Diesel,Manual,10.45,Thane,2022,Mahindra
681,Hyundai Creta,54284,Diesel,Automatic,10.75,Thane,2017,Hyundai
682,Mahindra XUV500,87520,Diesel,Manual,14.65,Thane,2019,Mahindra
683,Skoda Superb,57417,Diesel,Automatic,17.65,Thane,2016,Skoda
684,Maruti Suzuki Celerio,38338,Petrol,AMT,5.35,Thane,2018,Maruti
685,Volkswagen Vento,48090,Petrol,Automatic,6.35,Thane,2015,Volkswagen
686,Hyundai Grand i10,32361,Petrol,Automatic,6.45,Thane,2019,Hyundai
687,Honda City,34093,Petrol,Manual,10.8,Thane,2020,Honda
688,Hyundai Creta,44355,Petrol,Automatic,11.35,Thane,2018,Hyundai
689,Hyundai Xcent,49029,Petrol,Manual,5.45,Thane,2017,Hyundai
690,Volkswagen Vento,79906,Petrol,Automatic,4.55,Thane,2014,Volkswagen
691,Volkswagen Polo,83906,Petrol,Manual,4.75,Thane,2014,Volkswagen
692,Hyundai Verna,54375,Petrol,Automatic,5.95,Thane,2015,Hyundai
693,Hyundai Verna,60085,Petrol,Automatic,6.75,Thane,2016,Hyundai
694,Honda BR-V,58172,Petrol,Automatic,6.85,Thane,2016,Honda
695,Hyundai Creta,75213,Petrol,Manual,7.95,Thane,2016,Hyundai
696,Hyundai Creta,65657,Petrol,Automatic,8.65,Thane,2016,Hyundai
697,Mercedes-Benz M-Class,98774,Diesel,Automatic,21.75,Thane,2015,Mercedes-Benz
698,Skoda Rapid,63333,Diesel,Manual,5.35,Thane,2015,Skoda
699,Renault Duster,62140,Diesel,AMT,7.75,Thane,2017,Renault
700,Maruti Suzuki Ertiga,53081,Diesel,Manual,8.15,Thane,2016,Maruti
701,Skoda Rapid,38104,Petrol,Automatic,6.45,Thane,2016,Skoda
702,Jeep Compass,45456,Petrol,Automatic,12.75,Thane,2017,Jeep
703,Skoda Rapid,73490,Petrol,Automatic,3.95,Thane,2013,Skoda
704,Hyundai i20,72154,Petrol,Manual,3.1,Thane,2010,Hyundai
705,Maruti Suzuki Wagon R,27522,Petrol+CNG,Manual,4.25,Thane,2017,Maruti
706,Honda WR-V,21000,Petrol,Manual,6.25,Thane,2018,Honda
707,Maruti Suzuki Celerio,31527,Petrol,AMT,3.9,Thane,2014,Maruti
708,Honda BR-V,40995,Petrol,Manual,7.25,Thane,2017,Honda
709,Hyundai Venue,33000,Petrol,Manual,9.25,Thane,2019,Hyundai
710,Maruti Suzuki Swift DZire,57649,Petrol,Manual,4.35,Thane,2014,Maruti
711,Hyundai Xcent,0,Petrol,Manual,4.75,Thane,2015,Hyundai
712,Maruti Suzuki Swift,700000,Petrol,AMT,5.85,Thane,2018,Maruti
713,Maruti Suzuki Ciaz,67000,Petrol,Manual,7.75,Thane,2018,Maruti
714,Datsun Go Plus,47235,Petrol,Manual,2.75,Thane,2016,Datsun
715,Hyundai Elite i20,70000,Diesel,Manual,4.8,Thane,2016,Hyundai
716,Tata Tiago,66877,Petrol,AMT,4.85,Thane,2017,Tata
717,Tata Tigor,5340,Petrol,AMT,6.15,Thane,2018,Tata
718,Maruti Suzuki Ertiga,80000,Petrol+CNG,Manual,7.5,Thane,2016,Maruti
719,Maruti Suzuki Vitara Brezza,26419,Diesel,AMT,9.15,Thane,2018,Maruti
720,BMW X1,98000,Diesel,Automatic,17.75,Thane,2016,BMW
721,Mercedes-Benz GL-Class,71518,Diesel,Automatic,35.5,Thane,2015,Mercedes-Benz
722,Renault Kwid,40104,Petrol,AMT,3.65,Thane,2017,Renault
723,Honda Amaze,33100,Petrol,Manual,4.25,Thane,2016,Honda
724,Maruti Suzuki Celerio,42460,Petrol+CNG,Manual,4.9,Thane,2018,Maruti
725,Renault Duster,32147,Diesel,Manual,5.75,Thane,2015,Renault
726,Hyundai i20,39436,Petrol,Manual,5.95,Thane,2016,Hyundai
727,Tata Nexon,32535,Diesel,AMT,7.65,Thane,2018,Tata
728,Honda City,43620,Petrol,Automatic,7.75,Thane,2017,Honda
729,Maruti Suzuki Vitara Brezza,49313,Diesel,Manual,7.75,Thane,2018,Maruti
730,Tata Nexon,41125,Petrol,Manual,9.45,Thane,2019,Tata
731,Honda City,33889,Petrol,Automatic,8.2,Thane,2019,Honda
732,Maruti Suzuki Swift DZire,67944,Petrol,AMT,3.95,Thane,2012,Maruti
733,Ford EcoSport,53037,Petrol,Automatic,5.1,Thane,2014,Ford
734,Ford Freestyle,50873,Petrol,Manual,5.45,Thane,2018,Ford
735,Volkswagen Ameo,50013,Diesel,Manual,6.25,Thane,2016,Volkswagen
736,Maruti Suzuki Vitara Brezza,70638,Diesel,Manual,7.9,Thane,2019,Maruti
737,Hyundai Venue,60000,Petrol,Manual,8.5,Thane,2019,Hyundai
738,Hyundai Creta,56769,Petrol,Automatic,8.55,Thane,2016,Hyundai
739,Hyundai Creta,59478,Petrol,Manual,8.55,Thane,2017,Hyundai
740,Tata Nexon EV,17831,Electric,Automatic,11.25,Thane,2022,Tata
741,Kia Seltos,58246,Petrol,Automatic,12.95,Thane,2019,Kia
742,Toyota Innova Crysta,59088,Diesel,Manual,22.0,Thane,2021,Toyota
743,Honda City,36155,Petrol,Manual,9.95,Thane,2020,Honda
744,Nissan Terrano,88017,Diesel,Manual,4.75,Thane,2013,Nissan
745,Skoda Rapid,78107,Petrol,Automatic,5.25,Thane,2015,Skoda
746,Ford EcoSport,66129,Petrol,Automatic,5.65,Thane,2015,Ford
747,Maruti Suzuki Ciaz,74651,Diesel,Manual,6.25,Thane,2016,Maruti
748,Hyundai Verna,52215,Diesel,Automatic,6.45,Thane,2016,Hyundai
749,Toyota Corolla Altis,63503,Petrol,Automatic,10.35,Thane,2018,Toyota
750,Tata Nexon EV,33129,Electric,Automatic,12.15,Thane,2022,Tata
751,Volkswagen Vento,60030,Diesel,Manual,3.95,Thane,2012,Volkswagen
752,Skoda Rapid,65105,Petrol,Automatic,5.95,Thane,2016,Skoda
753,Toyota Fortuner,28000,Petrol,Automatic,40.0,Chandigarh,2023,Toyota
754,Maruti Suzuki Alto 800,62000,Petrol,Manual,3.5,Chandigarh,2019,Maruti
755,Maruti Suzuki Swift DZire,85450,Diesel,Manual,3.85,Chandigarh,2014,Maruti
756,Hyundai Verna,80000,Petrol,Manual,9.0,Chandigarh,2019,Hyundai
757,Maruti Suzuki Baleno,21458,Petrol,Automatic,6.25,Chandigarh,2017,Maruti
758,Mahindra Thar,23000,Diesel,Manual,15.0,Chandigarh,2023,Mahindra
759,Renault Kwid,105000,Petrol,Manual,2.5,Chandigarh,2018,Renault
760,Maruti Suzuki Ignis,36000,Petrol,Manual,4.2,Chandigarh,2018,Maruti
761,Volkswagen Polo,50000,Petrol,Manual,5.5,Chandigarh,2019,Volkswagen
762,Maruti Suzuki Alto,150000,Petrol,Manual,1.0,Chandigarh,2006,Maruti
763,Maruti Suzuki Alto,110000,Petrol,Manual,1.5,Chandigarh,2009,Maruti
764,Maruti Suzuki S-Cross,85000,Petrol,Manual,6.5,Chandigarh,2021,Maruti
765,Maruti Suzuki Vitara Brezza,64000,Diesel,Manual,7.0,Chandigarh,2019,Maruti
766,Hyundai Creta,80000,Petrol,Manual,8.5,Chandigarh,2019,Hyundai
767,Tata Indigo eCS,150000,Diesel,Manual,1.0,Chandigarh,2015,Tata
768,Toyota Etios,180000,Diesel,Manual,2.0,Chandigarh,2012,Toyota
769,Honda Amaze,135000,Diesel,Manual,3.0,Chandigarh,2015,Honda
770,Maruti Suzuki S-Cross,150000,Diesel,Manual,6.5,Chandigarh,2015,Maruti
771,Hyundai Verna,135000,Diesel,Manual,9.0,Chandigarh,2019,Hyundai
772,Maruti Suzuki Alto K10,72100,Petrol,AMT,3.4,Chandigarh,2016,Maruti
773,Hyundai Creta,97600,Diesel,Manual,9.2,Chandigarh,2019,Hyundai
